Comercializadora,Ano,Produto,Sudeste,Sul,Norte,Nordeste
Casa dos Ventos,2026,Convencional,"R$ 306,00","R$ 326,00","R$ 306,00","R$ 279,00"
Casa dos Ventos,2026,Incentivada 50%,"R$ 337,00","R$ 357,00","R$ 337,00","R$ 310,00"
Ecom,2026,Convencional,"R$ 274,00","R$ 274,00","R$ 270,00","R$ 270,00"
Ecom,2026,Incentivada 50%,"R$ 299,00","R$ 299,00","R$ 295,00","R$ 295,00"
Matrix,2026,Convencional,"R$ 321,00","R$ 341,00","R$ 321,00","R$ 294,00"
Matrix,2026,Incentivada 50%,"R$ 352,00","R$ 372,00","R$ 352,00","R$ 325,00"
Voltera,2026,Convencional,"R$ 280,00","R$ 305,00","R$ 270,00","R$ 270,00"
Voltera,2026,Incentivada 50%,"R$ 306,00","R$ 331,00","R$ 296,00","R$ 296,00"
Casa dos Ventos,2027,Convencional,"R$ 305,00","R$ 317,00","R$ 285,00","R$ 275,00"
Casa dos Ventos,2027,Incentivada 50%,"R$ 334,00","R$ 346,00","R$ 314,00","R$ 304,00"
Ecom,2027,Convencional,"R$ 305,00","R$ 305,00","R$ 295,00","R$ 295,00"
Ecom,2027,Incentivada 50%,"R$ 330,00","R$ 330,00","R$ 320,00","R$ 320,00"
Matrix,2027,Convencional,"R$ 320,00","R$ 332,00","R$ 300,00","R$ 290,00"
Matrix,2027,Incentivada 50%,"R$ 335,00","R$ 347,00","R$ 315,00","R$ 305,00"
Voltera,2027,Convencional,"R$ 291,00","R$ 301,00","R$ 276,00","R$ 276,00"
Voltera,2027,Incentivada 50%,"R$ 320,00","R$ 330,00","R$ 305,00","R$ 305,00"
Casa dos Ventos,2028,Convencional,"R$ 270,00","R$ 282,00","R$ 260,00","R$ 245,00"
Casa dos Ventos,2028,Incentivada 50%,"R$ 299,00","R$ 311,00","R$ 289,00","R$ 274,00"
Ecom,2028,Convencional,"R$ 285,00","R$ 285,00","R$ 275,00","R$ 275,00"
Ecom,2028,Incentivada 50%,"R$ 310,00","R$ 310,00","R$ 300,00","R$ 300,00"
Matrix,2028,Convencional,"R$ 285,00","R$ 297,00","R$ 275,00","R$ 260,00"
Matrix,2028,Incentivada 50%,"R$ 314,00","R$ 326,00","R$ 304,00","R$ 289,00"
Voltera,2028,Convencional,"R$ 265,00","R$ 275,00","R$ 250,00","R$ 250,00"
Voltera,2028,Incentivada 50%,"R$ 295,00","R$ 305,00","R$ 280,00","R$ 280,00"
Casa dos Ventos,2029,Convencional,"R$ 249,00","R$ 261,00","R$ 239,00","R$ 234,00"
Casa dos Ventos,2029,Incentivada 50%,"R$ 278,00","R$ 290,00","R$ 268,00","R$ 263,00"
Ecom,2029,Convencional,"R$ 255,00","R$ 255,00","R$ 235,00","R$ 235,00"
Ecom,2029,Incentivada 50%,"R$ 280,00","R$ 280,00","R$ 260,00","R$ 260,00"
Matrix,2029,Convencional,"R$ 264,00","R$ 276,00","R$ 254,00","R$ 249,00"
Matrix,2029,Incentivada 50%,"R$ 293,00","R$ 305,00","R$ 283,00","R$ 278,00"
Voltera,2029,Convencional,"R$ 241,00","R$ 251,00","R$ 226,00","R$ 226,00"
Voltera,2029,Incentivada 50%,"R$ 275,00","R$ 285,00","R$ 260,00","R$ 260,00"
Casa dos Ventos,2030,Convencional,"R$ 226,00","R$ 238,00","R$ 216,00","R$ 213,00"
Casa dos Ventos,2030,Incentivada 50%,"R$ 255,00","R$ 267,00","R$ 245,00","R$ 243,00"
Ecom,2030,Convencional,"R$ 235,00","R$ 235,00","R$ 225,00","R$ 225,00"
Ecom,2030,Incentivada 50%,"R$ 260,00","R$ 260,00","R$ 250,00","R$ 250,00"
Matrix,2030,Convencional,"R$ 241,00","R$ 253,00","R$ 231,00","R$ 228,00"
Matrix,2030,Incentivada 50%,"R$ 241,00","R$ 253,00","R$ 231,00","R$ 228,00"
Voltera,2030,Convencional,"R$ 220,00","R$ 230,00","R$ 205,00","R$ 205,00"
Voltera,2030,Incentivada 50%,"R$ 250,00","R$ 260,00","R$ 235,00","R$ 235,00"
Casa dos Ventos,2031,Convencional,"R$ 210,00","R$ 212,00","R$ 205,00","R$ 197,50"
Casa dos Ventos,2031,Incentivada 50%,"R$ 239,00","R$ 241,00","R$ 234,00","R$ 227,00"
Ecom,2031,Convencional,"R$ 235,00","R$ 235,00","R$ 225,00","R$ 225,00"
Ecom,2031,Incentivada 50%,"R$ 260,00","R$ 260,00","R$ 250,00","R$ 250,00"
Matrix,2031,Convencional,"R$ 225,00","R$ 227,00","R$ 220,00","R$ 212,50"
Matrix,2031,Incentivada 50%,"R$ 254,00","R$ 256,00","R$ 249,00","R$ 242,00"
Voltera,2031,Convencional,"R$ 220,00","R$ 230,00","R$ 205,00","R$ 205,00"
Voltera,2031,Incentivada 50%,"R$ 250,00","R$ 260,00","R$ 235,00","R$ 235,00"
