Sigla,Resolução ANEEL,Início Vigência,Fim Vigência,Base Tarifária,Subgrupo,Modalidade,Classe,Subclasse,Detalhe,Acessante,Posto,Unidade,TUSD,TE
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A3,Azul,Não se aplica,Não se aplica,APE,Não se aplica,Fora ponta,R$/kW,"10,36",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A3,Azul,Não se aplica,Não se aplica,APE,Não se aplica,Fora ponta,R$/kW,"12,13",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A3,Azul,Não se aplica,Não se aplica,APE,Não se aplica,Fora ponta,R$/MWh,"36,28",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A3,Azul,Não se aplica,Não se aplica,APE,Não se aplica,Fora ponta,R$/MWh,"37,12",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Fora ponta,R$/kW,"10,36",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Fora ponta,R$/kW,"12,13",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Fora ponta,R$/MWh,"77,69","320,12"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Fora ponta,R$/MWh,"71,96","368,7"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A3,Azul,Não se aplica,Não se aplica,SCEE,Não se aplica,Fora ponta,R$/MWh,"77,69","45,15"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A3,Azul,Não se aplica,Não se aplica,SCEE,Não se aplica,Fora ponta,R$/MWh,"71,96","94,09"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A3,Azul,Não se aplica,Não se aplica,APE,Não se aplica,Ponta,R$/kW,"12,72",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A3,Azul,Não se aplica,Não se aplica,APE,Não se aplica,Ponta,R$/kW,"14,95",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A3,Azul,Não se aplica,Não se aplica,APE,Não se aplica,Ponta,R$/MWh,"36,28",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A3,Azul,Não se aplica,Não se aplica,APE,Não se aplica,Ponta,R$/MWh,"37,12",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Ponta,R$/kW,"12,72",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Ponta,R$/kW,"14,95",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Ponta,R$/MWh,"77,69","518,11"
